objectid,id,hash,matricula,cnm,cns,municipio_cod_ibge,lon,lat
207871,857252,bf4819ad3e140660714b0dd698e6b3b0521df894e6089e21d6a0dc07807c9153,0007419,1591862000741930,159186,4115200,-51.93638749999997,-23.42567329999997
207872,857253,2c2e1c6044aa567487abced762b3f0ce4f1909fd163d271ac4abd2f16d9cac32,0014539,1591862001453910,159186,4115200,-51.93226439999995,-23.430651299999965
207873,857254,c52cde8d965e48619154798ba7b7de50a8c146b7fb208b68c7abfbd40d7603f1,0018491,1591862001849185,159186,4115200,-51.95020069999998,-23.421646899999928
207874,857256,067b6a7308a4fac5474430d997e7f3f180d56ff69f2c6c0d1e94a962c255087a,0017441,1591862001744134,159186,4115200,-51.93229319999995,-23.376350499999944
207875,857258,60f20c3c99c9286fb146c056a7dc537cda79644bd92d8d000534358cc41fcd4a,0018445,1591862001844529,159186,4115200,-51.97948199999996,-23.411608499999943
207876,857259,7ec42ae9d3a9d62ce5f8ec4f52415055ffb0f05fb15af99835ff29268d1339b8,0018389,1591862001838903,159186,4115200,-51.977471299999934,-23.40468969999995
207877,857261,535b375cb00d32378e9113670e7eb3d4d7a83862af07b8c77bee93e21cfb5647,0009847,1591862000984721,159186,4115200,-51.95522619999997,-23.434282399999972
207878,857262,55d46a0a1831f4290ca055c83a575d6963e8e448830628e5d9d391360173e724,0015395,1591862001539561,159186,4115200,-51.926184199999966,-23.372374599999944
207879,857263,ea5839b8874e23c33b7fe7bd082249bbb00b540276f84733cf09d3237c2bf83a,0018494,1591862001849476,159186,4115200,-51.92475639999998,-23.37457729999994
207880,857265,2d0a9734881c9f4f00f4576608b7cab824a7026cb2af477c125deeee506f59a4,0018139,1591862001813974,159186,4115200,-51.98006439999995,-23.409626299999957
207881,857266,946d8f4f67a25f73bb5dd4d6972aadb4b5fd2436aefc18e4a84b9885ec031026,0018379,1591862001837933,159186,4115200,-51.95718939999995,-23.421152099999972
207882,857268,280a2ac61842d2c96dde87a137c41b4245549fd2137d19145b0a9c51ad113341,0018476,1591862001847633,159186,4115200,-51.95948579999998,-23.429827599999953
207883,857271,9205d3084a8eff4431676add5bd1be336ef1ee35a9c4bd24cfafbb66c3d4ae52,0018501,1591862001850155,159186,4115200,-51.93240879999996,-23.37524949999994
207884,857272,2c13d91ce0bc12f3ad4c4a2d7ba2f34fa9e84fbfebb78f47add2e4d35e9d6e73,0011999,1591862001199964,159186,4115200,-51.98887949999994,-23.400386999999967
207885,857274,d8eb6a898f3988f332f2a6958b3ca1f2dca129c265b67d6cf75f2437a5552f3f,0015874,1591862001587479,159186,4115200,-51.964106699999945,-23.424503499999958
207886,857275,44898795ab2fcd654590a42282e7d5b5d47840db7593f1a6790e4d444c88acd0,0009804,1591862000980453,159186,4115200,-51.95522619999997,-23.434282399999972
207887,857277,558f9e6b219bf860f58104b34de86efe6c408d2d9f63cb0a50a8955a9e9ed0e1,0015930,1591862001593008,159186,4115200,-51.923747799999944,-23.388472599999943
207888,857278,ba87d27b7f1901bbbe3af5fefcc3333ef4fcec7a3297aa436e6b84bf62190e27,0005515,1591862000551519,159186,4115200,-51.949149199999965,-23.419943399999966
